stationcode;name;capacity;coordonnees_geo;station_opening_hours
10115;Granges aux Belles;27;48.8761373390584, 2.3680844979417;
12128;Pyramide - Ecole du Breuil;34;48.82237977153955, 2.4586871266365056;
8028;Arsène Houssaye - Champs-Elysées;0;48.873409276267, 2.2977904602885;
16136;Théophile Gautier - François Millet;30;48.85034821320644, 2.273029983043671;
19022;Marché Secrétan;26;48.88125496379482, 2.373463287949562;
16107;Benjamin Godard - Victor Hugo;35;48.865983, 2.275725;
40001;Gare RER - Quai de la Mégisserie;28;48.8584, 2.3470;
9020;Toudouze - Clauzel;21;48.87929591733507, 2.3373600840568547;
14111;Didot - Mariniers;25;48.826568, 2.316355;
14014;Stade Charléty;60;48.819428, 2.343335;

